event,fighter1,fighter2,f1_win_pct,f2_win_pct,f1_win_dec,f1_win_ko,f1_win_sub,f2_win_dec,f2_win_ko,f2_win_sub,implied_dec_odds_f1,implied_ko_odds_f1,implied_sub_odds_f1,implied_dec_odds_f2,implied_ko_odds_f2,implied_sub_odds_f2,f1_book_pct,f2_book_pct,f1_book_dec_odds,f2_book_dec_odds,odds_source,bookmaker
UFC 326: Holloway vs. Oliveira 2,Max Holloway,Charles Oliveira,51.8,48.2,29.4,19.4,3.0,10.0,6.9,31.3,+240,+416,+3204,+897,+1351,+220,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Caio Borralho,Reinier de Ridder,53.6,46.4,44.3,4.7,4.5,17.8,9.5,19.1,+126,+2008,+2111,+460,+957,+424,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Rob Font,Raul Rosas Jr.,84.4,15.6,47.6,32.0,4.8,8.7,2.2,4.6,+110,+213,+1980,+1044,+4387,+2059,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Drew Dober,Michael Johnson,69.6,30.4,20.8,45.3,3.5,22.8,7.6,0.0,+382,+121,+2733,+338,+1217,N/A,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Gregory Rodrigues,Brunno Ferreira,66.9,33.1,26.0,40.9,0.0,8.5,15.9,8.7,+285,+144,N/A,+1080,+529,+1045,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt,Xiao Long,67.2,32.8,36.8,30.4,0.0,0.0,32.8,0.0,+172,+229,N/A,N/A,+205,N/A,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Donte Johnson,Cody Brundage,85.0,15.0,54.5,0.0,30.5,0.0,11.6,3.4,-120,N/A,+228,N/A,+759,+2874,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios,Alberto Montes,62.5,37.5,62.5,0.0,0.0,0.0,0.0,37.5,-167,N/A,N/A,N/A,N/A,+167,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Cody Durden,Nyamjargal Tumendemberel,84.1,15.9,66.9,8.7,8.5,9.9,0.0,6.0,-202,+1050,+1073,+909,N/A,+1568,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Sumudaerji,Jesus Aguilar,55.9,44.1,50.7,5.2,0.0,28.6,7.4,8.1,-103,+1816,N/A,+250,+1245,+1138,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias,Diyar Nurgozhay,76.4,23.6,25.5,25.5,25.5,23.6,0.0,0.0,+293,+293,+293,+324,N/A,N/A,,,,,NO_ODDS,
UFC 326: Holloway vs. Oliveira 2,Luke Fernandez,Rodolfo Bellato,91.2,8.8,30.4,30.4,30.4,0.0,8.8,0.0,+229,+229,+229,N/A,+1036,N/A,,,,,NO_ODDS,
UFC Fight Night: Emmett vs. Vallejos,Josh Emmett,Kevin Vallejos,92.6,7.4,67.3,25.3,0.0,3.4,4.0,0.0,-205,+295,N/A,+2805,+2426,N/A,17.5,82.5,5.5,1.17,BOOK,BetOnline.ag
UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos,Gillian Robertson,66.7,33.3,40.2,16.1,10.4,11.5,6.1,15.7,+149,+521,+858,+769,+1540,+537,35.9,64.1,2.7,1.51,BOOK,BetOnline.ag
UFC Fight Night: Emmett vs. Vallejos,Ion Cutelaba,Oumar Sy,97.4,2.6,50.8,37.9,8.6,1.2,0.7,0.7,-103,+164,+1058,+8015,+14655,+14392,35.1,64.9,2.75,1.49,BOOK,BetOnline.ag
